mark,userName,p_id,tag,submited,passing_rate,level,mark_idx,userName_idx,p_id_idx,level_idx,submited_idx,passing_rate_idx
Unaccepted,codejesus_young,P1000,,503.06,0.39,入门,0,0,0,0,0,0
Unaccepted,zhijieS,P1000,,503.06,0.39,入门,0,1,0,0,0,0
Accepted,wanghj25,P1000,,503.06,0.39,入门,1,2,0,0,0,0
Accepted,zhouyongqiang,P1000,,503.06,0.39,入门,1,3,0,0,0,0
Unaccepted,SJY001,P1000,,503.06,0.39,入门,0,4,0,0,0,0
Unaccepted,qwxxx,P1000,,503.06,0.39,入门,0,5,0,0,0,0
Accepted,suoh123,P1000,,503.06,0.39,入门,1,6,0,0,0,0
Accepted,一起吃饭,P1000,,503.06,0.39,入门,1,7,0,0,0,0
Accepted,jynf,P1000,,503.06,0.39,入门,1,8,0,0,0,0
Unaccepted,xccmy,P1000,,503.06,0.39,入门,0,9,0,0,0,0
Unaccepted,jkljhh,P1000,,503.06,0.39,入门,0,10,0,0,0,0
Accepted,gongchuqiao,P1000,,503.06,0.39,入门,1,11,0,0,0,0
Accepted,Andy123456,P1000,,503.06,0.39,入门,1,12,0,0,0,0
Unaccepted,hty20940136,P1000,,503.06,0.39,入门,0,13,0,0,0,0
Unaccepted,Liutianyou93,P1000,,503.06,0.39,入门,0,14,0,0,0,0
Unaccepted,ll1641589503,P1000,,503.06,0.39,入门,0,15,0,0,0,0
Accepted,abcba12321,P1000,,503.06,0.39,入门,1,16,0,0,0,0
Accepted,555555ly,P1000,,503.06,0.39,入门,1,17,0,0,0,0
Unaccepted,zhangruoli,P1000,,503.06,0.39,入门,0,18,0,0,0,0
Accepted,Jeffjiang,P1000,,503.06,0.39,入门,1,19,0,0,0,0
Unaccepted,learnCoding,P1000,,503.06,0.39,入门,0,20,0,0,0,0
Unaccepted,jiaowoxiaokuai111,P1000,,503.06,0.39,入门,0,21,0,0,0,0
Unaccepted,Houmang2009,P1000,,503.06,0.39,入门,0,22,0,0,0,0
